"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Этот тест проверят поиск заказа на покупку по идентификатору","176","methodGetTests()","","Mon Feb 24 09:16:19 GMT 2025","passed","Mon Feb 24 09:16:19 GMT 2025","","TestOption1.ApiStoreTests","TestOption1.ApiStoreTests","methodGetTests"
"Этот тест проверяет добавление нового питомца в магазин petstore","110","methodPostTests()","","Mon Feb 24 09:16:19 GMT 2025","passed","Mon Feb 24 09:16:19 GMT 2025","","TestOption1.ApiPetTests","TestOption1.ApiPetTests","methodPostTests"
"Этот тест проверят выход из аккаунта пользователя в магазине petstore","67","methodGetLogoutTests()","","Mon Feb 24 09:16:19 GMT 2025","passed","Mon Feb 24 09:16:19 GMT 2025","","TestOption1.ApiUserTests","TestOption1.ApiUserTests","methodGetLogoutTests"
"Этот тест возвращает инвентарь питомцев по статусу","56","methodGetInventoryTests()","","Mon Feb 24 09:16:19 GMT 2025","passed","Mon Feb 24 09:16:19 GMT 2025","","TestOption1.ApiStoreTests","TestOption1.ApiStoreTests","methodGetInventoryTests"
"Этот тест проверяет получение питомца по его id petstore.","275","methodGetTests()","","Mon Feb 24 09:16:18 GMT 2025","passed","Mon Feb 24 09:16:18 GMT 2025","","TestOption1.ApiPetTests","TestOption1.ApiPetTests","methodGetTests"
"Этот тест проверяет получение питомца по его id petstore.","295","methodGetAvailableTests()","","Mon Feb 24 09:16:18 GMT 2025","passed","Mon Feb 24 09:16:18 GMT 2025","","TestOption1.ApiPetTests","TestOption1.ApiPetTests","methodGetAvailableTests"
"","358","createUser()","","Mon Feb 24 09:16:20 GMT 2025","passed","Mon Feb 24 09:16:20 GMT 2025","","UserApiTests.ApiUserTests","UserApiTests$ApiUserTests","createUser"
"Этот тест проверят создание пользователя","65","methodPostTests()","","Mon Feb 24 09:16:19 GMT 2025","passed","Mon Feb 24 09:16:19 GMT 2025","","TestOption1.ApiUserTests","TestOption1.ApiUserTests","methodPostTests"
"Этот тест проверят регистрацию пользователя в магазине petstore(но запрос не должен быть get, и параметры должны передаваться в теле запроса)","67","methodGetLoginTests()","","Mon Feb 24 09:16:19 GMT 2025","passed","Mon Feb 24 09:16:19 GMT 2025","","TestOption1.ApiUserTests","TestOption1.ApiUserTests","methodGetLoginTests"
"Этот тест проверят удаление пользователя по его id","64","methodDeleteTests()","","Mon Feb 24 09:16:19 GMT 2025","passed","Mon Feb 24 09:16:19 GMT 2025","","TestOption1.ApiUserTests","TestOption1.ApiUserTests","methodDeleteTests"
"Этот тест проверят получение пользователя по его id","96","methodGetTests()","","Mon Feb 24 09:16:19 GMT 2025","passed","Mon Feb 24 09:16:19 GMT 2025","","TestOption1.ApiUserTests","TestOption1.ApiUserTests","methodGetTests"
"Этот тест проверят получение пользователя по его id","83","methodPutTests()","","Mon Feb 24 09:16:19 GMT 2025","passed","Mon Feb 24 09:16:19 GMT 2025","","TestOption1.ApiUserTests","TestOption1.ApiUserTests","methodPutTests"
"Этот тест проверят оформление заказа на покупку питомца","85","methodPostTests()","","Mon Feb 24 09:16:19 GMT 2025","passed","Mon Feb 24 09:16:20 GMT 2025","","TestOption1.ApiStoreTests","TestOption1.ApiStoreTests","methodPostTests"
"Этот тест проверяет обновление id существующего питомца","1710","methodPutTests()","","Mon Feb 24 09:16:16 GMT 2025","passed","Mon Feb 24 09:16:18 GMT 2025","","TestOption1.ApiPetTests","TestOption1.ApiPetTests","methodPutTests"
"Этот тест проверят удаление заказа на покупку по идентификатору","63","methodDeleteTests()","","Mon Feb 24 09:16:19 GMT 2025","passed","Mon Feb 24 09:16:19 GMT 2025","","TestOption1.ApiStoreTests","TestOption1.ApiStoreTests","methodDeleteTests"
"Этот тест проверяет удаление питомца из магазина petstore.","170","methodDeleteTests()","","Mon Feb 24 09:16:18 GMT 2025","passed","Mon Feb 24 09:16:19 GMT 2025","","TestOption1.ApiPetTests","TestOption1.ApiPetTests","methodDeleteTests"
