"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Этот тест проверят получение пользователя по его id","95","methodPutTests()","","Mon Feb 24 09:22:11 GMT 2025","passed","Mon Feb 24 09:22:11 GMT 2025","","TestOption1.ApiUserTests","TestOption1.ApiUserTests","methodPutTests"
"Этот тест проверят регистрацию пользователя в магазине petstore(но запрос не должен быть get, и параметры должны передаваться в теле запроса)","65","methodGetLoginTests()","","Mon Feb 24 09:22:11 GMT 2025","passed","Mon Feb 24 09:22:11 GMT 2025","","TestOption1.ApiUserTests","TestOption1.ApiUserTests","methodGetLoginTests"
"Этот тест проверят выход из аккаунта пользователя в магазине petstore","64","methodGetLogoutTests()","","Mon Feb 24 09:22:11 GMT 2025","passed","Mon Feb 24 09:22:11 GMT 2025","","TestOption1.ApiUserTests","TestOption1.ApiUserTests","methodGetLogoutTests"
"Этот тест возвращает инвентарь питомцев по статусу","58","methodGetInventoryTests()","","Mon Feb 24 09:22:12 GMT 2025","passed","Mon Feb 24 09:22:12 GMT 2025","","TestOption1.ApiStoreTests","TestOption1.ApiStoreTests","methodGetInventoryTests"
"Этот тест проверят удаление заказа на покупку по идентификатору","67","methodDeleteTests()","","Mon Feb 24 09:22:12 GMT 2025","passed","Mon Feb 24 09:22:12 GMT 2025","","TestOption1.ApiStoreTests","TestOption1.ApiStoreTests","methodDeleteTests"
"Этот тест проверяет получение питомца по его id petstore.","289","methodGetAvailableTests()","","Mon Feb 24 09:22:10 GMT 2025","passed","Mon Feb 24 09:22:11 GMT 2025","","TestOption1.ApiPetTests","TestOption1.ApiPetTests","methodGetAvailableTests"
"Этот тест проверят создание пользователя","61","methodPostTests()","","Mon Feb 24 09:22:11 GMT 2025","passed","Mon Feb 24 09:22:11 GMT 2025","","TestOption1.ApiUserTests","TestOption1.ApiUserTests","methodPostTests"
"Этот тест проверят удаление пользователя по его id","67","methodDeleteTests()","","Mon Feb 24 09:22:11 GMT 2025","passed","Mon Feb 24 09:22:11 GMT 2025","","TestOption1.ApiUserTests","TestOption1.ApiUserTests","methodDeleteTests"
"Этот тест проверяет получение питомца по его id petstore.","250","methodGetTests()","","Mon Feb 24 09:22:10 GMT 2025","passed","Mon Feb 24 09:22:10 GMT 2025","","TestOption1.ApiPetTests","TestOption1.ApiPetTests","methodGetTests"
"Этот тест проверят получение пользователя по его id","94","methodGetTests()","","Mon Feb 24 09:22:11 GMT 2025","passed","Mon Feb 24 09:22:11 GMT 2025","","TestOption1.ApiUserTests","TestOption1.ApiUserTests","methodGetTests"
"","364","createUser()","","Mon Feb 24 09:22:12 GMT 2025","passed","Mon Feb 24 09:22:12 GMT 2025","","UserApiTests.ApiUserTests","UserApiTests$ApiUserTests","createUser"
"Этот тест проверяет удаление питомца из магазина petstore.","189","methodDeleteTests()","","Mon Feb 24 09:22:11 GMT 2025","passed","Mon Feb 24 09:22:11 GMT 2025","","TestOption1.ApiPetTests","TestOption1.ApiPetTests","methodDeleteTests"
"Этот тест проверят оформление заказа на покупку питомца","85","methodPostTests()","","Mon Feb 24 09:22:12 GMT 2025","passed","Mon Feb 24 09:22:12 GMT 2025","","TestOption1.ApiStoreTests","TestOption1.ApiStoreTests","methodPostTests"
"Этот тест проверяет добавление нового питомца в магазин petstore","97","methodPostTests()","","Mon Feb 24 09:22:11 GMT 2025","passed","Mon Feb 24 09:22:11 GMT 2025","","TestOption1.ApiPetTests","TestOption1.ApiPetTests","methodPostTests"
"Этот тест проверяет обновление id существующего питомца","1644","methodPutTests()","","Mon Feb 24 09:22:08 GMT 2025","passed","Mon Feb 24 09:22:10 GMT 2025","","TestOption1.ApiPetTests","TestOption1.ApiPetTests","methodPutTests"
"Этот тест проверят поиск заказа на покупку по идентификатору","189","methodGetTests()","","Mon Feb 24 09:22:11 GMT 2025","passed","Mon Feb 24 09:22:12 GMT 2025","","TestOption1.ApiStoreTests","TestOption1.ApiStoreTests","methodGetTests"
