"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Этот тест проверят поиск заказа на покупку по идентификатору","326","methodGetTests()","","Tue Feb 25 08:41:29 GMT 2025","passed","Tue Feb 25 08:41:29 GMT 2025","","TestOption1.ApiStoreTests","TestOption1.ApiStoreTests","methodGetTests"
"Этот тест проверят регистрацию пользователя в магазине petstore(но запрос не должен быть get, и параметры должны передаваться в теле запроса)","133","methodGetLoginTests()","","Tue Feb 25 08:41:28 GMT 2025","passed","Tue Feb 25 08:41:28 GMT 2025","","TestOption1.ApiUserTests","TestOption1.ApiUserTests","methodGetLoginTests"
"Этот тест проверят получение пользователя по его id","147","methodPutTests()","","Tue Feb 25 08:41:28 GMT 2025","passed","Tue Feb 25 08:41:28 GMT 2025","","TestOption1.ApiUserTests","TestOption1.ApiUserTests","methodPutTests"
"Этот тест проверяет получение питомца по его id petstore.","428","methodGetAvailableTests()","","Tue Feb 25 08:41:27 GMT 2025","passed","Tue Feb 25 08:41:27 GMT 2025","","TestOption1.ApiPetTests","TestOption1.ApiPetTests","methodGetAvailableTests"
"Этот тест проверят удаление пользователя по его id","133","methodDeleteTests()","","Tue Feb 25 08:41:28 GMT 2025","passed","Tue Feb 25 08:41:29 GMT 2025","","TestOption1.ApiUserTests","TestOption1.ApiUserTests","methodDeleteTests"
"Этот тест возвращает инвентарь питомцев по статусу","123","methodGetInventoryTests()","","Tue Feb 25 08:41:29 GMT 2025","passed","Tue Feb 25 08:41:29 GMT 2025","","TestOption1.ApiStoreTests","TestOption1.ApiStoreTests","methodGetInventoryTests"
"Этот тест проверяет удаление питомца из магазина petstore.","317","methodDeleteTests()","","Tue Feb 25 08:41:27 GMT 2025","passed","Tue Feb 25 08:41:28 GMT 2025","","TestOption1.ApiPetTests","TestOption1.ApiPetTests","methodDeleteTests"
"Этот тест проверяет получение питомца по его id petstore.","394","methodGetTests()","","Tue Feb 25 08:41:26 GMT 2025","passed","Tue Feb 25 08:41:27 GMT 2025","","TestOption1.ApiPetTests","TestOption1.ApiPetTests","methodGetTests"
"Этот тест проверяет добавление нового питомца в магазин petstore","167","methodPostTests()","","Tue Feb 25 08:41:28 GMT 2025","passed","Tue Feb 25 08:41:28 GMT 2025","","TestOption1.ApiPetTests","TestOption1.ApiPetTests","methodPostTests"
"Этот тест проверяет обновление id существующего питомца","2023","methodPutTests()","","Tue Feb 25 08:41:24 GMT 2025","passed","Tue Feb 25 08:41:26 GMT 2025","","TestOption1.ApiPetTests","TestOption1.ApiPetTests","methodPutTests"
"","294","createUser()","","Tue Feb 25 08:41:29 GMT 2025","passed","Tue Feb 25 08:41:30 GMT 2025","","UserApiTests.ApiUserTests","UserApiTests$ApiUserTests","createUser"
"Этот тест проверят получение пользователя по его id","167","methodGetTests()","","Tue Feb 25 08:41:28 GMT 2025","passed","Tue Feb 25 08:41:28 GMT 2025","","TestOption1.ApiUserTests","TestOption1.ApiUserTests","methodGetTests"
"Этот тест проверят оформление заказа на покупку питомца","145","methodPostTests()","","Tue Feb 25 08:41:29 GMT 2025","passed","Tue Feb 25 08:41:29 GMT 2025","","TestOption1.ApiStoreTests","TestOption1.ApiStoreTests","methodPostTests"
"Этот тест проверят выход из аккаунта пользователя в магазине petstore","135","methodGetLogoutTests()","","Tue Feb 25 08:41:28 GMT 2025","passed","Tue Feb 25 08:41:28 GMT 2025","","TestOption1.ApiUserTests","TestOption1.ApiUserTests","methodGetLogoutTests"
"Этот тест проверят удаление заказа на покупку по идентификатору","129","methodDeleteTests()","","Tue Feb 25 08:41:29 GMT 2025","passed","Tue Feb 25 08:41:29 GMT 2025","","TestOption1.ApiStoreTests","TestOption1.ApiStoreTests","methodDeleteTests"
"Этот тест проверят создание пользователя","131","methodPostTests()","","Tue Feb 25 08:41:29 GMT 2025","passed","Tue Feb 25 08:41:29 GMT 2025","","TestOption1.ApiUserTests","TestOption1.ApiUserTests","methodPostTests"
