"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","537","createUser()","","Mon Feb 24 19:40:14 GMT 2025","passed","Mon Feb 24 19:40:14 GMT 2025","","UserApiTests.ApiUserTests","UserApiTests$ApiUserTests","createUser"
"Этот тест проверяет добавление нового питомца в магазин petstore","420","methodPostTests()","","Mon Feb 24 19:40:09 GMT 2025","passed","Mon Feb 24 19:40:09 GMT 2025","","TestOption1.ApiPetTests","TestOption1.ApiPetTests","methodPostTests"
"Этот тест проверят оформление заказа на покупку питомца","403","methodPostTests()","","Mon Feb 24 19:40:14 GMT 2025","passed","Mon Feb 24 19:40:14 GMT 2025","","TestOption1.ApiStoreTests","TestOption1.ApiStoreTests","methodPostTests"
"Этот тест проверят создание пользователя","395","methodPostTests()","","Mon Feb 24 19:40:12 GMT 2025","passed","Mon Feb 24 19:40:12 GMT 2025","","TestOption1.ApiUserTests","TestOption1.ApiUserTests","methodPostTests"
"Этот тест проверяет удаление питомца из магазина petstore.","839","methodDeleteTests()","","Mon Feb 24 19:40:08 GMT 2025","passed","Mon Feb 24 19:40:09 GMT 2025","","TestOption1.ApiPetTests","TestOption1.ApiPetTests","methodDeleteTests"
"Этот тест проверят получение пользователя по его id","407","methodPutTests()","","Mon Feb 24 19:40:09 GMT 2025","passed","Mon Feb 24 19:40:10 GMT 2025","","TestOption1.ApiUserTests","TestOption1.ApiUserTests","methodPutTests"
"Этот тест проверят регистрацию пользователя в магазине petstore(но запрос не должен быть get, и параметры должны передаваться в теле запроса)","397","methodGetLoginTests()","","Mon Feb 24 19:40:11 GMT 2025","passed","Mon Feb 24 19:40:11 GMT 2025","","TestOption1.ApiUserTests","TestOption1.ApiUserTests","methodGetLoginTests"
"Этот тест проверят поиск заказа на покупку по идентификатору","820","methodGetTests()","","Mon Feb 24 19:40:12 GMT 2025","passed","Mon Feb 24 19:40:13 GMT 2025","","TestOption1.ApiStoreTests","TestOption1.ApiStoreTests","methodGetTests"
"Этот тест проверят выход из аккаунта пользователя в магазине petstore","374","methodGetLogoutTests()","","Mon Feb 24 19:40:10 GMT 2025","passed","Mon Feb 24 19:40:10 GMT 2025","","TestOption1.ApiUserTests","TestOption1.ApiUserTests","methodGetLogoutTests"
"Этот тест проверяет обновление id существующего питомца","2103","methodPutTests()","","Mon Feb 24 19:40:05 GMT 2025","passed","Mon Feb 24 19:40:07 GMT 2025","","TestOption1.ApiPetTests","TestOption1.ApiPetTests","methodPutTests"
"Этот тест возвращает инвентарь питомцев по статусу","381","methodGetInventoryTests()","","Mon Feb 24 19:40:13 GMT 2025","passed","Mon Feb 24 19:40:13 GMT 2025","","TestOption1.ApiStoreTests","TestOption1.ApiStoreTests","methodGetInventoryTests"
"Этот тест проверят получение пользователя по его id","419","methodGetTests()","","Mon Feb 24 19:40:10 GMT 2025","passed","Mon Feb 24 19:40:11 GMT 2025","","TestOption1.ApiUserTests","TestOption1.ApiUserTests","methodGetTests"
"Этот тест проверяет получение питомца по его id petstore.","897","methodGetTests()","","Mon Feb 24 19:40:07 GMT 2025","passed","Mon Feb 24 19:40:08 GMT 2025","","TestOption1.ApiPetTests","TestOption1.ApiPetTests","methodGetTests"
"Этот тест проверят удаление пользователя по его id","402","methodDeleteTests()","","Mon Feb 24 19:40:11 GMT 2025","passed","Mon Feb 24 19:40:12 GMT 2025","","TestOption1.ApiUserTests","TestOption1.ApiUserTests","methodDeleteTests"
"Этот тест проверяет получение питомца по его id petstore.","637","methodGetAvailableTests()","","Mon Feb 24 19:40:08 GMT 2025","passed","Mon Feb 24 19:40:08 GMT 2025","","TestOption1.ApiPetTests","TestOption1.ApiPetTests","methodGetAvailableTests"
"Этот тест проверят удаление заказа на покупку по идентификатору","390","methodDeleteTests()","","Mon Feb 24 19:40:13 GMT 2025","passed","Mon Feb 24 19:40:13 GMT 2025","","TestOption1.ApiStoreTests","TestOption1.ApiStoreTests","methodDeleteTests"
